Date,shore,gulls_terns,pel_corm,land,waders,waterfowl
9/12/13,867,315,286,12,34,3
9/27/13,2129,1996,363,4,50,1
10/11/13,793,587,506,6,18,0
10/25/13,1243,1508,459,1,57,0
11/7/13,2704,1473,4527,6,97,98
11/22/13,4881,5721,3349,6,341,51
12/7/13,3486,3577,4546,3,163,341
1/8/14,9644,227,98,5,94,11
1/23/14,7783,472,156,4,157,99
2/3/14,12156,1444,342,7,50,130
2/17/14,14543,1056,218,5,62,323
3/3/14,6846,684,278,3,79,313
3/18/14,8168,786,228,4,85,208
3/31/14,4165,1394,212,3,53,448
4/16/14,3818,758,250,1,74,399
4/29/14,678,5048,206,4,48,208
5/4/14,442,178,307,3,355,23
5/17/14,359,94,82,7,240,11
6/18/14,247,149,284,2,241,1
10/11/14,7751,497,133,15,297,1
10/23/14,4385,1373,314,14,47,10
11/5/14,1680,1879,611,3,14,175
11/19/14,3384,1856,132,4,151,211
12/3/14,3850,3474,167,6,49,122
12/14/14,8594,185,50,1,59,6
1/14/15,12209,892,437,1,68,98
1/30/15,3182,289,71,4,57,51
2/5/15,3209,539,205,6,57,71
2/18/15,3682,615,72,1,57,9
3/5/15,1327,603,88,2,72,12
3/19/15,5262,1336,206,3,66,161
3/31/15,3033,2232,137,7,92,148
4/15/15,1929,1756,158,4,153,200
4/28/15,570,528,71,5,107,98
5/15/15,370,2109,259,3,17,18
5/25/15,188,1462,169,4,225,4
10/9/15,5,1236,66,0,7,0
10/14/15,240,658,343,8,62,3
10/29/15,605,962,60,3,68,1
11/3/15,71,1325,115,5,19,2
11/11/15,528,1208,161,8,18,139
11/17/15,1043,500,144,0,23,184
11/28/15,943,1914,203,2,27,341
12/10/15,967,1869,210,0,24,71
1/7/16,2088,163,70,0,31,41
1/20/16,2564,255,148,3,39,151
1/28/16,1703,116,26,1,46,81
2/9/16,372,128,23,1,23,25
2/16/16,1394,136,23,0,25,18
2/24/16,970,191,171,4,34,52
3/4/16,1131,65,28,0,26,37
3/8/16,1181,111,154,1,24,216
3/14/16,1030,360,54,1,35,209
3/24/16,683,156,54,1,23,174
3/31/16,565,310,63,1,25,16
4/7/16,1115,366,57,2,53,275
4/28/16,40,382,25,2,32,5
5/17/16,150,89,128,2,177,2
5/24/16,126,86,102,1,76,9
6/14/16,157,33,139,5,94,1
10/3/16,216,371,99,4,8,3
10/20/16,992,933,216,5,24,12
11/3/16,814,1224,125,4,22,120
11/16/16,1014,2252,112,1,660,84
11/27/16,1373,2602,87,1,81,322
12/8/16,2227,3264,85,1,67,333
1/10/17,4168,509,71,4,47,35
1/26/17,1830,718,162,4,38,33
2/10/17,4129,952,147,4,61,60
3/7/17,823,627,37,1,18,17
3/30/17,477,363,83,5,53,24
4/11/17,1347,2503,895,1,60,13
4/25/17,326,1030,308,0,83,0
5/10/17,52,98,432,1,47,3
5/26/17,61,17,1139,2,125,1
6/8/17,58,127,422,5,87,0
9/27/17,525,1161,201,3,28,0
10/14/17,179,385,164,5,15,1
10/29/17,741,1412,203,1,33,34
11/14/17,1000,2788,87,2,19,433
11/30/17,1004,4254,135,2,59,121
12/8/17,4462,1155,345,4,37,213
1/7/18,5212,483,67,2,180,127
1/26/18,2133,384,10,1,70,44
2/6/18,2068,135,447,1,35,44
3/7/18,492,213,14,0,61,19
3/24/18,665,217,15,1,66,7
4/6/18,923,96,151,2,58,12
4/21/18,249,915,11,2,73,2
5/19/18,192,116,36,3,132,3
5/30/18,95,59,24,1,126,0
6/17/18,94,72,52,4,77,0
10/9/18,3290,1964,228,2,71,55
10/31/18,466,1150,44,1,16,55
11/9/18,2675,3008,187,3,60,168
11/28/18,2058,1929,117,1,35,114
12/6/18,1420,2298,115,3,62,81
12/15/18,1852,1566,86,0,69,95
1/8/19,1130,918,67,1,83,51
1/22/19,938,1468,47,4,79,65
2/8/19,1656,530,393,0,72,43
2/27/19,1005,264,30,0,50,18
3/12/19,925,486,20,0,33,14
3/29/19,1393,314,50,0,34,19
4/10/19,1340,1090,13,2,34,1
4/23/19,231,375,138,3,40,3
5/8/19,51,10,3,2,100,0
5/29/19,142,48,48,2,114,0
6/15/19,94,121,276,4,70,0
6/26/19,123,143,119,3,106,0
10/2/19,626,870,53,1,49,0
10/16/19,1519,1058,107,4,77,0
11/5/19,316,2451,108,0,15,39
11/28/19,885,2060,121,1,33,46
12/6/19,1219,2635,62,2,42,19
12/17/19,4465,1865,603,1,53,81
1/7/20,3572,807,221,3,60,22
1/22/20,6816,883,113,1,64,28
