Date,AMAV,AMCO,AMOY,AWPE,BBPL,BCNH,BEKI,BFBO,BLSK,BLTE,BLTU,BNST,BOGU,BRAN,BRBO,BRPE,BUFF,BWTE,CAEG,CAGU,CATE,CITE,CLGR,CLRA,COLO,COME,COTE,DCCO,DUNL,EAGR,ELTE,FOTE,GBHE,GBTE,GESC,GRHE,GREG,GRYE,GWTE,HEEG,HERG,HOGR,KILL,LAGU,LBCU,LBDO,LBHE,LEBI,LESA,LESC,LETE,LEYE,MAFR,MAGO,NOPI,NOSH,OSPR,PALO,PBGR,RBGU,RBME,REDH,REEG,REKN,RIRA,RNDU,ROSP,ROYT,RTLO,RUDU,RUTU,SAND,SBDO,SEPL,SNEG,SNPL,SPSA,SURF,TRHE,WEGR,WESA,WFIB,WHIB,WHIM,WILL,WIPH,WIPL,YCNH,YFGU
9/12/13,0,0,22,0,3,0,0,0,3,11,0,0,0,0,0,146,0,0,0,0,9,0,0,0,0,0,15,140,0,0,3,2,8,0,0,0,8,0,0,75,0,0,0,0,14,0,0,0,0,0,0,0,0,8,0,0,12,0,0,2,0,0,7,0,0,0,13,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,14,0,0,0,20
9/27/13,400,0,1,19,19,0,0,0,33,9,0,10,0,0,2,215,0,0,0,0,3,0,0,0,0,0,7,127,0,1,100,27,1,0,0,0,1,0,0,224,0,0,0,507,33,0,0,0,0,0,0,0,0,94,0,0,4,0,0,0,0,0,9,0,0,0,0,7,0,0,16,0,0,0,11,0,0,0,2,0,104,0,0,43,84,0,9,0,41
10/11/13,3,0,66,97,7,0,0,1,44,0,0,0,0,0,1,204,0,0,0,0,9,0,0,0,0,0,8,203,2,0,155,54,3,0,0,0,6,0,0,120,0,0,0,118,12,0,0,0,0,0,0,0,0,63,0,0,6,0,0,1,0,0,5,0,0,0,0,2,0,0,57,0,0,5,2,2,0,0,0,0,339,0,0,9,41,0,52,0,24
10/25/13,66,0,66,134,14,3,0,1,40,0,0,5,0,0,1,268,0,0,0,0,6,0,0,0,0,0,8,55,17,0,21,29,8,0,0,0,8,0,0,323,0,0,0,988,74,0,1,0,0,0,0,7,0,329,0,0,1,0,0,6,0,0,18,0,0,0,0,12,0,0,28,0,0,60,10,13,1,0,0,0,402,0,3,21,57,0,46,0,31
11/7/13,41,0,17,269,23,0,0,1,106,0,0,12,0,0,2,247,0,0,0,0,17,0,0,0,0,0,3,4008,41,1,101,25,21,0,0,0,8,0,0,309,1,0,0,182,63,0,0,0,0,0,0,1,0,234,0,0,6,0,1,399,68,0,10,1,0,1,0,40,0,8,16,0,0,0,19,2,1,0,0,4,1075,0,11,8,95,0,3,0,30
11/22/13,2,0,19,112,81,0,1,2,0,0,0,0,0,10,0,188,0,0,0,0,25,0,0,0,1,0,14,3047,63,6,1,18,24,0,0,2,12,0,0,835,1,0,0,1349,106,0,3,0,0,0,0,4,0,277,0,0,5,0,0,2282,27,0,25,0,0,0,3,3,0,0,18,3,0,1,48,1,0,0,2,5,1150,0,27,17,266,0,17,5,68
12/7/13,2,0,18,305,23,0,0,1,302,0,0,1,0,0,0,388,1,0,0,0,47,0,0,0,2,0,10,3852,9,1,124,36,15,0,0,0,27,0,0,775,8,0,0,1022,61,0,1,0,0,0,0,17,0,369,0,0,3,0,0,1093,317,0,18,0,0,0,0,53,0,0,77,8,12,91,80,18,0,0,1,20,1345,0,20,6,211,0,5,1,21
1/8/14,0,0,7,8,29,14,2,0,0,0,0,0,0,0,0,80,2,0,0,0,16,0,0,0,0,0,0,10,69,4,0,1,10,0,0,0,6,0,0,26,0,0,0,0,47,0,0,0,0,0,0,2,0,198,0,0,3,0,0,95,5,0,15,0,0,0,0,3,0,0,0,0,0,94,27,108,0,0,1,0,3437,0,9,16,106,0,20,2,41
1/23/14,120,0,8,5,19,3,0,1,2,0,1,0,3,0,0,134,9,0,0,0,12,0,0,0,1,0,0,16,0,2,0,0,22,0,0,0,17,4,0,43,0,0,0,1,57,0,4,0,0,0,0,10,0,81,0,0,4,0,0,125,58,0,35,0,0,0,0,5,0,0,1,0,0,26,25,9,0,0,0,2,500,0,17,19,126,0,8,2,58
2/3/14,0,0,8,16,36,0,0,0,9,0,0,7,24,0,0,228,0,0,0,8,23,0,0,0,0,0,0,98,11,1,0,19,8,1,0,0,2,24,0,65,15,0,0,37,67,0,2,0,0,0,0,2,0,218,4,0,7,0,0,836,123,0,17,0,0,0,0,35,0,0,4,5,0,109,12,57,0,0,0,0,5453,0,1,16,280,0,23,0,92
